seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
1,1,2,0.074407,0.018383,0.018179,0,0
2,2,3,0.024802,0.015953,0.015953,0,0
3,2,4,0.034,0.0086443,0.0086443,0,0
4,4,5,0.034,0.0074195,0.0068015,0,0
5,4,6,0.094,0.0049467,0.0042661,0,0
6,5,7,0.149,0.002288,0.001715,0,0
7,5,8,0.422,0.0068015,0.0029181,0,0
8,8,9,0.235,0.0016075,0.00131,0,0
9,8,10,0.067,0.0026586,0.002633,0,0
10,10,11,0.079,0.001115,0.001115,2.771e-11,1.2797e+10
11,10,12,0.171,0.002449,0.002241,0,0
12,6,13,0.178,0.003525,0.002633,0,0
13,6,14,0.041,0.0030918,0.002756,0,0
14,3,15,0.039,0.015335,0.015335,0,0
15,3,16,0.139,0.0045761,0.0039884,0,0
16,16,17,0.178,0.0032776,0.002511,0,0
17,16,18,0.041,0.002906,0.002633,0,0
18,15,19,0.052,0.013603,0.012354,0,0
19,15,20,0.034,0.0068015,0.0061836,0,0
20,20,7,0.148,0.002288,0.001715,0,0
21,20,22,0.422,0.0057504,0.0029181,0,0
22,22,23,0.235,0.0016075,0.00131,0,0
23,22,24,0.067,0.0026586,0.002633,0,0
24,24,25,0.079,0.001115,0.001115,2.771e-11,1.2797e+10
25,24,26,0.171,0.002449,0.002241,0,0
26,19,27,0.08,0.0014843,0.00147,2.5117e-10,2.4919e+09
27,19,28,0.104,0.010759,0.0087806,0,0
28,28,29,0.053,0.0075437,0.0075437,0,0
29,28,30,0.02,0.0046993,0.0046993,0,0
30,30,31,0.01,0.0037097,0.003674,0,0
31,30,32,0.071,0.0035866,0.003368,5.0268e-11,5.9036e+09
32,31,33,0.066,0.002939,0.002939,1.2882e-10,2.5355e+09
33,31,34,0.063,0.002449,0.002449,9.7685e-11,3.3679e+09
34,29,35,0.059,0.0037097,0.003674,2.0402e-10,1.5916e+09
35,29,36,0.01,0.0072963,0.0072963,0,0
36,36,37,0.032,0.003215,0.003184,3.2491e-10,1.1376e+09
37,36,38,0.01,0.0070489,0.0070489,0,0
38,38,39,0.032,0.003215,0.003184,3.2491e-10,1.1376e+09
39,38,40,0.106,0.0068015,0.0065541,0,0
40,40,41,0.05,0.0019791,0.00196,5.8064e-11,5.6335e+09
41,40,42,0.01,0.006431,0.0061836,0,0
42,42,44,0.058,0.0045508,0.0043287,0,0
43,42,43,0.059,0.0045508,0.0043287,0,0
44,44,45,0.144,0.0034624,0.003307,0,0
45,44,46,0.05,0.0032574,0.003226,5.2046e-11,5.7314e+09
46,45,47,0.443,0.003062,0.002327,0,0
47,45,48,0.126,0.001837,0.001527,8.4199e-11,4.6338e+09
48,47,49,0.321,0.001898,0.001715,1.0956e-10,3.569e+09
49,47,50,0.343,0.001592,0.001408,7.3846e-11,5.3536e+09
50,43,51,0.145,0.0034624,0.003307,0,0
51,43,52,0.05,0.0032574,0.003226,5.2046e-11,5.7314e+09
52,51,53,0.444,0.003062,0.002327,0,0
53,51,54,0.127,0.001837,0.001527,8.4199e-11,4.6338e+09
54,53,55,0.322,0.001898,0.001715,1.0984e-10,3.5623e+09
55,53,56,0.344,0.001592,0.001408,7.4036e-11,5.3437e+09
56,7,21,0.015,0.002449,0.002327,0,0
57,21,57,0.01,0.002327,0.001653,0,0
58,57,58,0.004,0.001164,0.001164,0,0
59,57,59,0.004,0.001164,0.001164,0,0
60,58,60,0.004,0.000919,0.000919,0,0
61,59,61,0.004,0.000919,0.000919,0,0
62,58,62,0.059,0.001225,0.001102,1.0992e-11,9.6485e+09
63,59,63,0.059,0.001225,0.001102,1.0992e-11,9.6485e+09
64,60,64,0.004,0.002388,0.002327,0,0
65,61,65,0.004,0.002388,0.002327,0,0
66,66,67,0.012,0.001286,0.001225,0,0
