seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
1,1,2,0.084012,0.021531,0.021292,0,0
2,2,3,0.028004,0.018685,0.018685,0,0
3,2,4,0.034,0.010125,0.010125,0,0
4,4,5,0.034,0.0086901,0.0079663,0,0
5,4,6,0.094,0.0057938,0.0049967,0,0
6,5,7,0.149,0.0026799,0.001715,0,0
7,5,8,0.422,0.0079663,0.0034179,0,0
8,8,9,0.235,0.0018828,0.00131,0,0
9,8,10,0.067,0.0031139,0.002633,0,0
10,10,11,0.079,0.001115,0.001115,1.8155e-11,1.562e+10
11,10,12,0.171,0.002449,0.002241,0,0
12,6,13,0.178,0.0041286,0.002633,0,0
13,6,14,0.041,0.0036213,0.002756,0,0
14,3,15,0.039,0.017961,0.017961,0,0
15,3,16,0.139,0.0053598,0.0046715,0,0
16,16,17,0.178,0.0038389,0.002511,0,0
17,16,18,0.041,0.0034037,0.002633,0,0
18,15,19,0.052,0.015933,0.01447,0,0
19,15,20,0.034,0.0079663,0.0072425,0,0
20,20,7,0.148,0.0026799,0.001715,0,0
21,20,22,0.422,0.0067352,0.0034179,0,0
22,22,23,0.235,0.0018828,0.00131,0,0
23,22,24,0.067,0.0031139,0.002633,0,0
24,24,25,0.079,0.001115,0.001115,1.8155e-11,1.562e+10
25,24,26,0.171,0.002449,0.002241,0,0
26,19,27,0.08,0.0017385,0.00147,1.6456e-10,2.8992e+09
27,19,28,0.104,0.012601,0.010284,0,0
28,28,29,0.053,0.0088356,0.0088356,0,0
29,28,30,0.02,0.005504,0.005504,0,0
30,30,31,0.01,0.004345,0.003674,0,0
31,30,32,0.071,0.0042008,0.003368,3.2935e-11,7.3167e+09
32,31,33,0.066,0.002939,0.002939,8.4401e-11,3.1032e+09
33,31,34,0.063,0.002449,0.002449,6.4e-11,4.117e+09
34,29,35,0.059,0.004345,0.003674,1.3367e-10,1.9468e+09
35,29,36,0.01,0.0085458,0.0085458,0,0
36,36,37,0.032,0.0037656,0.003184,2.1287e-10,1.3684e+09
37,36,38,0.01,0.0082561,0.0082561,0,0
38,38,39,0.032,0.0037656,0.003184,2.1287e-10,1.3684e+09
39,38,40,0.106,0.0079663,0.0076766,0,0
40,40,41,0.05,0.002318,0.00196,3.8042e-11,6.9003e+09
41,40,42,0.01,0.0075323,0.0072425,0,0
42,42,44,0.058,0.0053302,0.00507,0,0
43,42,43,0.059,0.0053302,0.00507,0,0
44,44,45,0.144,0.0040553,0.003307,0,0
45,44,46,0.05,0.0038152,0.003226,3.4099e-11,7.0981e+09
46,45,47,0.443,0.003062,0.002327,0,0
47,45,48,0.126,0.001837,0.001527,5.5165e-11,5.5835e+09
48,47,49,0.321,0.001898,0.001715,7.1781e-11,4.292e+09
49,47,50,0.343,0.001592,0.001408,4.8382e-11,6.4514e+09
50,43,51,0.145,0.0040553,0.003307,0,0
51,43,52,0.05,0.0038152,0.003226,3.4099e-11,7.0981e+09
52,51,53,0.444,0.003062,0.002327,0,0
53,51,54,0.127,0.001837,0.001527,5.5165e-11,5.5835e+09
54,53,55,0.322,0.001898,0.001715,7.1965e-11,4.2837e+09
55,53,56,0.344,0.001592,0.001408,4.8506e-11,6.439e+09
56,7,21,0.015,0.002449,0.002327,0,0
57,21,57,0.01,0.002327,0.001653,0,0
58,57,58,0.004,0.001164,0.001164,0,0
59,57,59,0.004,0.001164,0.001164,0,0
60,58,60,0.004,0.000919,0.000919,0,0
61,59,61,0.004,0.000919,0.000919,0,0
62,58,62,0.059,0.001225,0.001102,7.2014e-12,1.1687e+10
63,59,63,0.059,0.001225,0.001102,7.2014e-12,1.1687e+10
64,60,64,0.004,0.002388,0.002327,0,0
65,61,65,0.004,0.002388,0.002327,0,0
66,66,67,0.012,0.001286,0.001225,0,0
67,68,69,0.012,0.001286,0.001225,0,0
68,66,70,0.008,0.001837,0.001715,0,0
69,70,71,0.071,0.001225,0.001225,8.8987e-12,9.3885e+09
70,70,72,0.07,0.001225,0.001225,8.8987e-12,9.3885e+09
71,68,73,0.008,0.001837,0.001715,0,0
72,73,74,0.071,0.001225,0.001225,8.8987e-12,9.3885e+09
73,73,75,0.07,0.001225,0.001225,8.8987e-12,9.3885e+09
74,67,76,0.024,0.001102,0.001041,6.4262e-12,1.315e+10
75,67,69,0.004,0.000796,0.000796,0,0
76,69,77,0.024,0.001102,0.001041,6.4262e-12,1.315e+10
77,13,60,0.011,0.002633,0.002388,0,0
78,13,78,0.011,0.000612,0.000306,1.0335e-12,2.7446e+11
79,17,61,0.011,0.002633,0.002388,0,0
80,17,79,0.011,0.000612,0.000306,1.0335e-12,2.7446e+11
81,14,80,0.061,0.002449,0.002143,0,0
82,14,81,0.101,0.001715,0.001715,3.2463e-11,8.2224e+09
83,18,82,0.061,0.002449,0.002143,0,0
84,18,83,0.101,0.001347,0.00098,1.06e-11,2.5721e+10
85,80,84,0.061,0.00196,0.001837,0,0
86,80,85,0.091,0.001347,0.000612,4.1339e-12,6.7189e+10
87,82,86,0.061,0.00196,0.001837,0,0
88,82,87,0.091,0.001347,0.000612,4.1339e-12,6.7189e+10
89,84,88,0.1,0.001347,0.000857,8.1063e-12,3.3819e+10
90,84,89,0.101,0.001347,0.000857,8.1063e-12,3.3819e+10
91,86,90,0.1,0.001347,0.000857,8.1063e-12,3.3819e+10
92,86,91,0.101,0.001347,0.000857,8.1063e-12,3.3819e+10
