seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
1,1,2,0.069605,0.017778,0.017581,0,0
2,2,3,0.023202,0.015428,0.015428,0,0
3,2,4,0.034,0.0083597,0.0083597,0,0
4,4,5,0.034,0.0071752,0.0065776,0,0
5,4,6,0.094,0.0047838,0.0041257,0,0
6,5,7,0.149,0.0022127,0.001715,0,0
7,5,8,0.422,0.0065776,0.002822,0,0
8,8,9,0.235,0.0015546,0.00131,0,0
9,8,10,0.067,0.0025711,0.002633,0,0
10,10,11,0.079,0.001115,0.001115,3.2488e-11,7.5697e+09
11,10,12,0.171,0.002449,0.002241,0,0
12,6,13,0.178,0.0034089,0.002633,0,0
13,6,14,0.041,0.00299,0.002756,0,0
14,3,15,0.039,0.01483,0.01483,0,0
15,3,16,0.139,0.0044254,0.0038571,0,0
16,16,17,0.178,0.0031697,0.002511,0,0
17,16,18,0.041,0.0028103,0.002633,0,0
18,15,19,0.052,0.013155,0.011947,0,0
19,15,20,0.034,0.0065776,0.00598,0,0
20,20,7,0.148,0.0022127,0.001715,0,0
21,20,22,0.422,0.0055611,0.002822,0,0
22,22,23,0.235,0.0015546,0.00131,0,0
23,22,24,0.067,0.0025711,0.002633,0,0
24,24,25,0.079,0.001115,0.001115,3.2488e-11,7.5697e+09
25,24,26,0.171,0.002449,0.002241,0,0
26,19,27,0.08,0.0014354,0.00147,2.9448e-10,1.3059e+09
27,19,28,0.104,0.010404,0.0084915,0,0
28,28,29,0.053,0.0072953,0.0072953,0,0
29,28,30,0.02,0.0045446,0.0045446,0,0
30,30,31,0.01,0.0035876,0.003674,0,0
31,30,32,0.071,0.0034685,0.003368,5.8935e-11,3.6172e+09
32,31,33,0.066,0.002939,0.002939,1.5103e-10,1.506e+09
33,31,34,0.063,0.002449,0.002449,1.1453e-10,1.9952e+09
34,29,35,0.059,0.0035876,0.003674,2.392e-10,9.4371e+08
35,29,36,0.01,0.0070561,0.0070561,0,0
36,36,37,0.032,0.0031091,0.003184,3.8093e-10,6.466e+08
37,36,38,0.01,0.0068169,0.0068169,0,0
38,38,39,0.032,0.0031091,0.003184,3.8093e-10,6.466e+08
39,38,40,0.106,0.0065776,0.0063384,0,0
40,40,41,0.05,0.0019139,0.00196,6.8075e-11,3.3555e+09
41,40,42,0.01,0.0062192,0.00598,0,0
42,42,44,0.058,0.004401,0.0041862,0,0
43,42,43,0.059,0.004401,0.0041862,0,0
44,44,45,0.144,0.0033484,0.003307,0,0
45,44,46,0.05,0.0031501,0.003226,6.1019e-11,3.5054e+09
46,45,47,0.443,0.003062,0.002327,0,0
47,45,48,0.126,0.001837,0.001527,9.8716e-11,2.6535e+09
48,47,49,0.321,0.001898,0.001715,1.2845e-10,2.0325e+09
49,47,50,0.343,0.001592,0.001408,8.6579e-11,3.0673e+09
50,43,51,0.145,0.0033484,0.003307,0,0
51,43,52,0.05,0.0031501,0.003226,6.1019e-11,3.5054e+09
52,51,53,0.444,0.003062,0.002327,0,0
53,51,54,0.127,0.001837,0.001527,9.8716e-11,2.6535e+09
54,53,55,0.322,0.001898,0.001715,1.2878e-10,2.0284e+09
55,53,56,0.344,0.001592,0.001408,8.68e-11,3.0612e+09
56,7,21,0.015,0.002449,0.002327,0,0
57,21,57,0.01,0.002327,0.001653,0,0
58,57,58,0.004,0.001164,0.001164,0,0
59,57,59,0.004,0.001164,0.001164,0,0
60,58,60,0.004,0.000919,0.000919,0,0
61,59,61,0.004,0.000919,0.000919,0,0
62,58,62,0.059,0.001225,0.001102,1.2887e-11,5.6035e+09
63,59,63,0.059,0.001225,0.001102,1.2887e-11,5.6035e+09
64,60,64,0.004,0.002388,0.002327,0,0
65,61,65,0.004,0.002388,0.002327,0,0
66,66,67,0.012,0.001286,0.001225,0,0
67,68,69,0.012,0.001286,0.001225,0,0
68,66,70,0.008,0.001837,0.001715,0,0
69,70,71,0.071,0.001225,0.001225,1.5924e-11,4.4933e+09
