seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
1,1,2,0.06,0.018206,0.018004,0,0
2,2,3,0.02,0.015799,0.015799,0,0
3,2,4,0.034,0.008561,0.008561,0,0
4,4,5,0.034,0.007348,0.006736,0,0
5,4,6,0.094,0.004899,0.004225,0,0
6,5,7,0.149,0.002266,0.001715,0,0
7,5,8,0.422,0.006736,0.00289,0,0
8,8,9,0.235,0.001592,0.00131,0,0
9,8,10,0.067,0.002633,0.002633,0,0
10,10,11,0.079,0.001115,0.001115,4.2043e-11,1.6694e+10
11,10,12,0.171,0.002449,0.002241,0,0
12,6,13,0.178,0.003491,0.002633,0,0
13,6,14,0.041,0.003062,0.002756,0,0
14,3,15,0.039,0.015187,0.015187,0,0
15,3,16,0.139,0.004532,0.00395,0,0
16,16,17,0.178,0.003246,0.002511,0,0
17,16,18,0.041,0.002878,0.002633,0,0
18,15,19,0.052,0.013472,0.012235,0,0
19,15,20,0.034,0.006736,0.006124,0,0
20,20,7,0.148,0.002266,0.001715,0,0
21,20,22,0.422,0.005695,0.00289,0,0
22,22,23,0.235,0.001592,0.00131,0,0
23,22,24,0.067,0.002633,0.002633,0,0
24,24,25,0.079,0.001115,0.001115,4.2043e-11,1.6694e+10
25,24,26,0.171,0.002449,0.002241,0,0
26,19,27,0.08,0.00147,0.00147,3.8109e-10,2.9706e+09
27,19,28,0.104,0.010655,0.008696,0,0
28,28,29,0.053,0.007471,0.007471,0,0
29,28,30,0.02,0.004654,0.004654,0,0
30,30,31,0.01,0.003674,0.003674,0,0
31,30,32,0.071,0.003552,0.003368,7.6269e-11,7.9143e+09
32,31,33,0.066,0.002939,0.002939,1.9545e-10,3.3208e+09
33,31,34,0.063,0.002449,0.002449,1.4821e-10,4.4018e+09
34,29,35,0.059,0.003674,0.003674,3.0955e-10,2.082e+09
35,29,36,0.01,0.007226,0.007226,0,0
36,36,37,0.032,0.003184,0.003184,4.9296e-10,1.4421e+09
37,36,38,0.01,0.006981,0.006981,0,0
38,38,39,0.032,0.003184,0.003184,4.9296e-10,1.4421e+09
39,38,40,0.106,0.006736,0.006491,0,0
40,40,41,0.05,0.00196,0.00196,8.8097e-11,7.3916e+09
41,40,42,0.01,0.006369,0.006124,0,0
42,42,44,0.058,0.004507,0.004287,0,0
43,42,43,0.059,0.004507,0.004287,0,0
44,44,45,0.144,0.003429,0.003307,0,0
45,44,46,0.05,0.003226,0.003226,7.8966e-11,7.673e+09
46,45,47,0.443,0.003062,0.002327,0,0
47,45,48,0.126,0.001837,0.001527,1.2775e-10,5.9005e+09
48,47,49,0.321,0.001898,0.001715,1.6623e-10,4.5269e+09
49,47,50,0.343,0.001592,0.001408,1.1204e-10,6.819e+09
50,43,51,0.145,0.003429,0.003307,0,0
51,43,52,0.05,0.003226,0.003226,7.8966e-11,7.673e+09
52,51,53,0.444,0.003062,0.002327,0,0
53,51,54,0.127,0.001837,0.001527,1.2775e-10,5.9005e+09
54,53,55,0.322,0.001898,0.001715,1.6665e-10,4.5179e+09
55,53,56,0.344,0.001592,0.001408,1.1233e-10,6.8056e+09
56,7,21,0.015,0.002449,0.002327,0,0
57,21,57,0.01,0.002327,0.001653,0,0
58,57,58,0.004,0.001164,0.001164,0,0
59,57,59,0.004,0.001164,0.001164,0,0
60,58,60,0.004,0.000919,0.000919,0,0
61,59,61,0.004,0.000919,0.000919,0,0
62,58,62,0.059,0.001225,0.001102,1.6677e-11,1.2412e+10
63,59,63,0.059,0.001225,0.001102,1.6677e-11,1.2412e+10
64,60,64,0.004,0.002388,0.002327,0,0
65,61,65,0.004,0.002388,0.002327,0,0
66,66,67,0.012,0.001286,0.001225,0,0
67,68,69,0.012,0.001286,0.001225,0,0
68,66,70,0.008,0.001837,0.001715,0,0
69,70,71,0.071,0.001225,0.001225,2.0607e-11,9.9609e+09
