seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
1,1,2,0.084012,0.019594,0.019376,0,0
2,2,3,0.028004,0.017003,0.017003,0,0
3,2,4,0.034,0.0092135,0.0092135,0,0
4,4,5,0.034,0.007908,0.0072494,0,0
5,4,6,0.094,0.0052724,0.004547,0,0
6,5,7,0.149,0.0024387,0.001715,0,0
7,5,8,0.422,0.0072494,0.0031103,0,0
8,8,9,0.235,0.0017133,0.00131,0,0
9,8,10,0.067,0.0028337,0.002633,0,0
10,10,11,0.079,0.001115,0.001115,1.8155e-11,1.261e+10
11,10,12,0.171,0.002449,0.002241,0,0
12,6,13,0.178,0.0037571,0.002633,0,0
13,6,14,0.041,0.0032954,0.002756,0,0
14,3,15,0.039,0.016344,0.016344,0,0
15,3,16,0.139,0.0048774,0.004251,0,0
16,16,17,0.178,0.0034934,0.002511,0,0
17,16,18,0.041,0.0030973,0.002633,0,0
18,15,19,0.052,0.014499,0.013167,0,0
19,15,20,0.034,0.0072494,0.0065907,0,0
20,20,7,0.148,0.0024387,0.001715,0,0
21,20,22,0.422,0.006129,0.0031103,0,0
22,22,23,0.235,0.0017133,0.00131,0,0
23,22,24,0.067,0.0028337,0.002633,0,0
24,24,25,0.079,0.001115,0.001115,1.8155e-11,1.261e+10
25,24,26,0.171,0.002449,0.002241,0,0
26,19,27,0.08,0.001582,0.00147,1.6456e-10,2.2743e+09
27,19,28,0.104,0.011467,0.0093587,0,0
28,28,29,0.053,0.0080404,0.0080404,0,0
29,28,30,0.02,0.0050087,0.0050087,0,0
30,30,31,0.01,0.003954,0.003674,0,0
31,30,32,0.071,0.0038227,0.003368,3.2935e-11,5.9563e+09
32,31,33,0.066,0.002939,0.002939,8.4401e-11,2.5077e+09
33,31,34,0.063,0.002449,0.002449,6.4e-11,3.325e+09
34,29,35,0.059,0.003954,0.003674,1.3367e-10,1.5726e+09
35,29,36,0.01,0.0077767,0.0077767,0,0
36,36,37,0.032,0.0034267,0.003184,2.1287e-10,1.0944e+09
37,36,38,0.01,0.007513,0.007513,0,0
38,38,39,0.032,0.0034267,0.003184,2.1287e-10,1.0944e+09
39,38,40,0.106,0.0072494,0.0069857,0,0
40,40,41,0.05,0.0021094,0.00196,3.8042e-11,5.5799e+09
41,40,42,0.01,0.0068544,0.0065907,0,0
42,42,44,0.058,0.0048505,0.0046137,0,0
43,42,43,0.059,0.0048505,0.0046137,0,0
44,44,45,0.144,0.0036903,0.003307,0,0
45,44,46,0.05,0.0034719,0.003226,3.4099e-11,5.7758e+09
46,45,47,0.443,0.003062,0.002327,0,0
47,45,48,0.126,0.001837,0.001527,5.5165e-11,4.4732e+09
48,47,49,0.321,0.001898,0.001715,7.1781e-11,3.434e+09
49,47,50,0.343,0.001592,0.001408,4.8382e-11,5.1691e+09
50,43,51,0.145,0.0036903,0.003307,0,0
51,43,52,0.05,0.0034719,0.003226,3.4099e-11,5.7758e+09
52,51,53,0.444,0.003062,0.002327,0,0
53,51,54,0.127,0.001837,0.001527,5.5165e-11,4.4732e+09
54,53,55,0.322,0.001898,0.001715,7.1965e-11,3.4272e+09
55,53,56,0.344,0.001592,0.001408,4.8506e-11,5.159e+09
56,7,21,0.015,0.002449,0.002327,0,0
57,21,57,0.01,0.002327,0.001653,0,0
58,57,58,0.004,0.001164,0.001164,0,0
59,57,59,0.004,0.001164,0.001164,0,0
60,58,60,0.004,0.000919,0.000919,0,0
61,59,61,0.004,0.000919,0.000919,0,0
62,58,62,0.059,0.001225,0.001102,7.2014e-12,9.3942e+09
63,59,63,0.059,0.001225,0.001102,7.2014e-12,9.3942e+09
64,60,64,0.004,0.002388,0.002327,0,0
65,61,65,0.004,0.002388,0.002327,0,0
66,66,67,0.012,0.001286,0.001225,0,0
67,68,69,0.012,0.001286,0.001225,0,0
68,66,70,0.008,0.001837,0.001715,0,0
69,70,71,0.071,0.001225,0.001225,8.8987e-12,7.5416e+09
70,70,72,0.07,0.001225,0.001225,8.8987e-12,7.5416e+09
71,68,73,0.008,0.001837,0.001715,0,0
72,73,74,0.071,0.001225,0.001225,8.8987e-12,7.5416e+09
73,73,75,0.07,0.001225,0.001225,8.8987e-12,7.5416e+09
